ticker,sector,aliases
BNGA,BANK,BNGA|Bank Cimb|Bank Cimb Niaga
BNII,BANK,BNII|Bank Maybank|Bank Maybank Indonesia
BNLI,BANK,BNLI|Bank Permata
BOAT,TAMBANG,BOAT|Newport Marine|Newport Marine Services
BOBA,MAKANAN,BOBA|Formosa Ingredient|Formosa Ingredient Factory
BOGA,OTOMOTIF,BOGA|Bintang Oto|Bintang Oto Global
BOLA,REKREASI,BOLA|Bali Bintang|Bali Bintang Sejahtera
BOLT,OTOMOTIF,BOLT|Garuda Metalindo
BOSS,BATUBARA,BOSS|Borneo Olah|Borneo Olah Sarana Sukses
BPFI,PEMBIAYAAN,BPFI|Batavia Prosperindo|Batavia Prosperindo Finance
BPII,INVESTASI,BPII|Batavia Prosperindo|Batavia Prosperindo Internasional
BPTR,TRANSPORTASI,BPTR|Batavia Prosperindo|Batavia Prosperindo Trans
BRAM,BAN,BRAM|Indo Kordsa
BREN,LISTRIK,BREN|Barito Renewables|Barito Renewables Energi
BRIS,BANK,BRIS|Bank Syariah|Bank Syariah Indonesia
BRMS,TAMBANG,BRMS|Bumi Resources|Bumi Resources Minerals
BRNA,PLASTIK,BRNA|Berlina
BRPT,KIMIA,BRPT|Barito Pacific
BRRC,MAKANAN,BRRC|Raja Roti|Raja Roti Cemerlang
BSBK,REALESTATE,BSBK|Wulandari Bangun|Wulandari Bangun Laksana
BSDE,REALESTATE,BSDE|Bumi Serpong|Bumi Serpong Damai
BSIM,BANK,BSIM|Bank Sinarmas
BSML,BATUBARA,BSML|Bintang Samudera|Bintang Samudera Mandiri Lines
BSSR,BATUBARA,BSSR|Baramulti Suksessarana
BSWD,BANK,BSWD|Bank Of|Bank Of India Indonesia
BTEK,PANGAN,BTEK|Bumi Teknokultura|Bumi Teknokultura Unggul
BTEL,TELEKOMUNIKASI,BTEL|Bakrie Telecom
BTON,LOGAM,BTON|Betonjaya Manunggal
BTPN,BANK,BTPN|Bank Btpn
BTPS,BANK,BTPS|Bank Btpn|Bank Btpn Syariah
BUAH,MAKANAN,BUAH|Segar Kumala|Segar Kumala Indonesia
BUDI,MAKANAN,BUDI|Budi Starch|Budi Starch & Sweetener
BUKA,INTERNET,BUKA|Bukalapakcom
BUKK,KONSTRUKSI,BUKK|Bukaka Teknik|Bukaka Teknik Utama
BULL,TAMBANG,BULL|Buana Lintas|Buana Lintas Lautan
BUMI,BATUBARA,BUMI|Bumi Resources
BUVA,HOTEL,BUVA|Bukit Uluwatu|Bukit Uluwatu Villa
BVIC,BANK,BVIC|Bank Victoria|Bank Victoria International
BWPT,PANGAN,BWPT|Eagle High|Eagle High Plantations
BYAN,BATUBARA,BYAN|Bayan Resources
CAKK,BANGUNAN,CAKK|Cahayaputra Asa|Cahayaputra Asa Keramik
CAMP,SUSU,CAMP|Campina Ice|Campina Ice Cream Industry
CANI,BATUBARA,CANI|Capitol Nusantara|Capitol Nusantara Indonesia
CARE,KESEHATAN,CARE|Metro Kesehatan|Metro Kesehatan Indonesia
CARS,OTOMOTIF,CARS|Industri Dan|Industri Dan Perdagangn Bntrc Dhm
CASA,INVESTASI,CASA|Capital Financial|Capital Financial Indonesia
CASH,INTERNET,CASH|Cashlez Worldwide|Cashlez Worldwide Indonesia
CASS,PENERBANGAN,CASS|Cardig Aero|Cardig Aero Services
CBDK,REALESTATE,CBDK|Bangun Kosambi|Bangun Kosambi Sukses
CBMF,FURNITUR,CBMF|Cahaya Bintang|Cahaya Bintang Medan
CBPE,REALESTATE,CBPE|Citra Buana|Citra Buana Prasida
CBRE,BATUBARA,CBRE|Cakra Buana|Cakra Buana Resources Energi
CBUT,PANGAN,CBUT|Citra Borneo|Citra Borneo Utama
CCSI,KABEL,CCSI|Communication Cbl|Communication Cbl Sys Indisa
CDIA,LISTRIK,CDIA|Chandra Daya|Chandra Daya Investasi
CEKA,MAKANAN,CEKA|Wilmar Cahaya|Wilmar Cahaya Indonesia
CENT,TELEKOMUNIKASI,CENT|Centratama Telekomuniks|Centratama Telekomuniks Indonesia
CFIN,PEMBIAYAAN,CFIN|Clipan Finance|Clipan Finance Indonesia
CGAS,TAMBANG,CGAS|Citra Nusantara|Citra Nusantara Gemilang
CHEK,ALATKESEHATAN,CHEK|Diastika Biotekindo
CHEM,KIMIA,CHEM|Chemstar Indonesia
CHIP,ELEKTRONIK,CHIP|Pelita Teknologi|Pelita Teknologi Global
CINT,FURNITUR,CINT|Chitose Internasional
CITA,LOGAM,CITA|Cita Mineral|Cita Mineral Investindo
CITY,REALESTATE,CITY|Natura City|Natura City Developments
CLAY,HOTEL,CLAY|Citra Putra|Citra Putra Realty
CLEO,MINUMAN,CLEO|Sariguna Primatirta
CLPI,KIMIA,CLPI|Colorpak Indonesia
CMNP,JALANTOL,CMNP|Citra Marga|Citra Marga Nusaphala Persada
CMNT,MATERIAL,CMNT|Cemindo Gemilang
CMPP,PENERBANGAN,CMPP|Airasia Indonesia
CMRY,SUSU,CMRY|Cisarua Mountain|Cisarua Mountain Dairy
CNKO,BATUBARA,CNKO|Exploitasi Energi|Exploitasi Energi Indonesia
CNMA,REKREASI,CNMA|Nusantara Sejahtera|Nusantara Sejahtera Raya
CNTX,TEKSTIL,CNTX|Century Textile|Century Textile Industry Seri A Pref Shs
COAL,BATUBARA,COAL|Black Diamond|Black Diamond Resources
COCO,MAKANAN,COCO|Wahana Interfood|Wahana Interfood Nusantara
COIN,INVESTASI,COIN|Indokripto Koin|Indokripto Koin Semesta
COWL,REALESTATE,COWL|Cowell Development
CPIN,BUDIDAYA,CPIN|Charoen Pokphand|Charoen Pokphand Indonesia
CPRI,REALESTATE,CPRI|Capri Nusa|Capri Nusa Satu Properti
CPRO,BUDIDAYA,CPRO|Central Proteina|Central Proteina Prima
CRAB,MAKANAN,CRAB|Toba Surimi|Toba Surimi Industries
CRSN,KONSULTASI,CRSN|Carsurin
CSAP,RUMAHTANGGA,CSAP|Catur Sentosa|Catur Sentosa Adiprana
